doi_url,title,author,journal_name,publication_year,primary_sources,secondary_sources,geographic_location,language,dialect,data_deposited,data_deposit_doi_url,data_repository_format,funding_source
https://doi.org/10.1007/s11185-022-09263-8,The local Dialect of Novi Jarylovyči (Region of Černihiv) in the East Slavic Context,Salvatore Del Gaudio,Russian Linguistics,2022,dataset;study,scholarly article,ukraine;belarus,ukranian,novi jaryloviči,in paper,n/a,n/a,n/a
https://doi.org/10.1007/s11185-022-09252-x,Prosodic diversity in Standard Russian: pitch alignment in Central and Northern varieties,Pavel Duryagin;Sergey Knyazev,Russian Linguistics,2022,study,scholarly article,russia,russian,moscow;vologda,in paper,n/a,n/a,n/a
https://doi.org/10.1007/s10828-024-09155-9,The decline of feminine gender: a cross-dialectal study of seven Norwegian dialects,Yvonne van Baal;Ragnhild Eik;Hedda Solbakken;Terje Lohndal,The Journal of Comparative Germanic Linguistics ,2024,study,scholarly article,norway,norwegian,mo i rana;egersund;bodø;kristiansand;lygndal;trondheim;stavanger,in si,n/a,docx,Norwegian University of Science and Technology
https://doi.org/10.1007/s10828-023-09145-3,Open syllable lengthening and diphthongisation in Upper Middle High German: evidence from verse,Joshua Booth,The Journal of Comparative Germanic Linguistics ,2023,n/a,scholarly article,germany,german,middle high german;modern standard german;south bavarian;upper german;east franconian ,n/a,n/a,n/a,n/a
https://doi.org/10.1007/s10828-024-09153-x,Unmarkedness of the coronal nasal in Alemannic,Erin Noelliste;Tyler Kniess,The Journal of Comparative Germanic Linguistics ,2024,survey,scholarly article,germany,german,alemannic,in paper,n/a,n/a,n/a
https://doi.org/10.1007/s10828-022-09139-7,Dutch specCP-expletives are main clause complementizers,Jeroen van Craenenbroeck,The Journal of Comparative Germanic Linguistics ,2022,study,scholarly article,belgium,belgian dutch;celtic,lapscheure;wambeek;torhout;blankenberge;belton;welsh,in paper,n/a,n/a,n/a
 https://doi.org/10.1007/s10828-023-09142-6,Two structures of extraposition in central dialects of Early New High German,Aleksandra Belkind,The Journal of Comparative Germanic Linguistics ,2023,dataset,scholarly article,germany,german,thuringian;hessian;ripuarian,other,n/a,website,Projekt DEAL
https://doi.org/10.1186/s40862-020-00088-w,A comparative study of the effect of teacher’s group and individual feedback on Iranian EFL learners’ learning of speech acts in apology letter writing,Zahra Pourmousavi;Zohre Mohamadi Zenouzagh,Asian-Pacific Journal of Second and Foreign Language Education,2020,test,book;scholarly article,iran,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.1186/s40862-020-00081-3,Examining the influence of native and non-native English-speaking teachers on Korean EFL writing,Andrew Schenck,Asian-Pacific Journal of Second and Foreign Language Education,2020,scholarly article,book;scholarly article,china;hong kong;indonesia;japan;korea;pakistan;philippines;singapore;malaysia;taiwan;thailand,english,n/a,in paper,n/a,n/a,n/a
https://doi.org/10.1186/s40862-021-00118-1,Profiling the pausing behaviour of EFL learners in real-time computer-aided writing: a multi-method case study,Shen Cuiping;Chen Ningyang,Asian-Pacific Journal of Second and Foreign Language Education,2021,keystroke logging;recording,book;scholarly article,china,english,n/a,in paper,n/a,n/a,n/a
